Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
110,Year-wise Funds Allocated to Maharashtra for Maintenance of NHs from 2015-16 to 2019-20 (From: Ministry of Road Transport and Highways),9948f84d-6cc4-4cf9-ad35-83ce92a1d8d4,2023-11-20,241,0
111,"Period-wise Illegal Operation of Buses by Enforcement Branch of Transport Department, Government of NCT of Delhi from 01-01-2022 to 30-11-2022",5c7be7df-ec1d-4494-82b9-53a817ffe8aa,2023-11-20,458,0
112,"Corridor-wise Details of the Project under Bharatmala Pariyojana to Strengthen Connectivity through various means of Transport under the Pradhan Mantri Gati Shakti-National Master Plan in Gujarat (in Reply to Unstarred Question on 20 July, 2022)",e7a4263e-5d4a-4ee4-91f6-765b6fe8e87c,2023-11-18,337,0
113,"STU-wise Information in Respect of 61 State Transport Undertakings (STUs) of total Number of Buses and Total Number of Accessible Buses (in reply to Unstarred Question on 27 July, 2022) - Nagaland",6555db57-e758-47b3-bbd8-11466f9b02d3,2023-11-18,339,0
114,"Month-wise Increased Quantity of Coal Transported by the Indian Railways in the Months of March, April, May and June as Compared to the last year during 2021 and 2022 - Odisha",ff78cc91-413a-48be-9940-6b0fc992f7f3,2023-11-18,299,0
115,Year-wise Ditail of Central Assistance for Strengthening Intelligent Transport System (ITS) in Public Transport Scheme from 2016-17 to 2021-22 - Punjab,c6efa453-f039-4408-9241-ef6131abaddc,2023-11-18,204,0
116,"Year-wise Details of the Amount Allocated and Released for Development of Transport Infrastructure in Coalfield Areas, under the Central Sector Scheme of DTIC from 2019-20 to 2022-23 - Rajasthan",7e475918-8b54-4bfc-9414-49706e5c865f,2023-11-09,113,0
117,"State/UT-wise Details of the Registered Electric Vehicles in India as per E-vahan Portal, Ministry of Road Transport and Highways as on 06-03-2023 - Sikkim",3382eae5-e6fd-4e45-be4b-520b3bd0c76d,2023-11-09,140,0
118,State-wise Status of Proposals Received for feasibility study/detailed project report/land acquisition and construction including bypasses on the National Highways from 2012 to 2016 (From :Ministry of Road Transport And Highways) - Tamil Nadu,b7ac3d7c-88cf-4c23-99ba-3f293ffd75ba,2023-10-21,77,0
119,Details of Action taken by National Highways Authority of India (NHAI) on different complaints received against concessionaire in 2015 (From :Ministry of Road Transport And Highways) - Telangana,a8379ada-f143-4dfa-81ba-a2f83ebca7e1,2023-10-21,363,0
