Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
75,Total debt owed to Multilateral Development Banks (MDBs) by various State Governments as on 31.3.2016(From : Ministry of Finance) - Daman and Diu,26b990bb-96a2-4bcf-be0e-f04bae2a8952,2023-12-07,71,0
76,Bank-wise data on Gross Advances Outstanding as on End of March during 2014 to 2016 (Ministry of Finance) - Lakshadweep,103c8130-95e9-4b12-bdf3-1cec2075b832,2023-12-06,225,0
77,"Details of Revenue Deficit (RD), Fiscal Deficit (FD) and Debt as ratios of Gross State Domestic Product (GSDP) of States during 2014-15 (FA), 2015-16 BE) and 2016-17 (BE) (Ministry of Finance ) - Delhi",61610ed8-cb1c-40de-a02a-7be4bcf16889,2023-12-06,251,0
78,"Gross Advances, Gross NPAs and GNPA Ratio of Public Sector Banks and Private Sector Banks from 2013 to 2016 (Ministry of Finance) - Puducherry",0f190d1d-0345-4189-a8a0-2f2d46eb64f9,2023-12-06,395,0
79,State/ UT-wise data on Agriculture Credit - Public Sector Commercial Banks during 2015-16 (Ministry of Finance),9e199b5b-1484-48af-a842-08561a5168b6,2023-12-06,432,0
80,State-wise Details of Interest Subvention Disbursed under is Scheme to Cooperative Banks and Regional Rural Banks (RRBs) from 2012-13 to 2014-15 (Ministry of Finance) - Andhra Pradesh,70c3fa0d-9e70-429f-b4fd-dea34f1fc54e,2023-12-06,378,0
81,Public Sector Bank-wise data on Write-offs during 2013 to 2015 (Ministry of Finance) - Arunachal Pradesh,6d06b8a0-36ac-439b-83e6-2181df20b159,2023-12-06,248,0
82,Bank wise Compromise Settlement of Loans from 2014 to 2016 (Ministry of Finance) - Assam,57f0b45d-209e-4553-9f84-41fd35bb8e6a,2023-12-06,330,0
83,District wise Mudra loan in Rajasthan during 2015-16 (Ministry of Finance),bc597716-c029-475e-ba85-3b8a00e0882e,2023-12-06,454,0
84,State/ UT-wise Warehouse Infrastructure Fund Position of Sanction as on 11 July 2016 (Ministry of Finance) - Bihar,de693274-757f-4d87-a71d-482266dd7fb6,2023-12-06,395,0
85,State/ UT-wise list of Mahila Urban Co-operative Banks in India  (in reply to starred question on 9th August 2016)  (Ministry of Finance) - Chhattisgarh,6ba8e853-414f-44e0-b779-38ef8d4b1100,2023-12-06,75,0
86,Bank wise Targets and Loan Sanctioned in Rajasthan under Pradhan Mantri Mudra Yojana (PMMY) during 2015-16 and 2016-17 (Ministry of Finance),4c5ce036-da40-4499-bba4-9999c7cfaaae,2023-12-06,392,0
87,"State-wise Disbursement /Percentage of Loans Given to Women, SC/ST, OBC Entrepreneurs of MUDRA Loans under Pradhan Mantri Mudra Yojana (PMMY) from 08-04-2015 to 22-07-2016 (Ministry of Finance ) - Goa",dcfb580d-4b67-4203-8a84-06e2d0b49a95,2023-12-06,129,0
88,State/ UT-wise Opened Accounts Report on Coverage of Households under Pradhan Mantri Jan-Dhan Yojana (PMJDY) (in reply to Unstarred Question on 02-08-2016 ) (Ministry of Finance) - Gujarat,df54d791-c987-49af-93ef-fdbed2b32ca2,2023-12-06,253,0
89,State-wise Outstanding Amounts in Kisan Credit Cards (KCC) - Commercial Banks during 2014 to 2016 (Ministry of Finance ),58a01785-0a85-4f45-8db4-55ed81a701b2,2023-12-06,154,0
90,State/ UT-wise Number of Functioning Branches of Scheduled Commercial Banks as on 31-03-2016 (Ministry of Finance) - Himachal Pradesh,5889814a-7005-48bb-8a05-b87fcc78695b,2023-12-06,51,0
91,State-wise and Agency-wise Kisan Credit Card (KCC) Issued - Cooperative Banks and Regional Rural Banks (RRBs) during 2013-14 to 2015-16 (Ministry of Finance ),22bbfbed-397e-4e34-86f4-8ba65106fe8e,2023-12-06,166,0
92,Details of Total Loans Disbursed under Pradhan Mantri Mudra Yojana (PMMY) Scheme in 2015-2016 and 2016-17 (Ministry of Finance) - Karnataka,3ed7b85d-e095-42a8-8aaf-0b8a806322b4,2023-12-06,345,0
93,State-wise and Activity-wise Release and Utilization of funds under Thirteenth Finance Commission for Improvement in Judicial Infrastructure as on 31-03-2015 (Ministry of Law and Justice ) - Kerala,c0f725e0-93d4-45c0-88cd-e925df20cd48,2023-12-06,452,0
94,Claims Settlement by Insurance Companies from 2012-13 to 2014-15 (Ministry of Finance) - Madhya Pradesh,1aa64ceb-a296-4c6b-a368-6b5b8b542a58,2023-12-06,353,0
95,State-wise Outstanding Amounts under Kisan Credit Cards (KCC) in Respect of Cooperative Banks and Regional Rural Banks (RRBs) during 2014 to 2016 (Ministry of Finance ) - Maharashtra,c76e133a-167f-4307-8db3-805c75345255,2023-12-06,219,0
96,"Data on Gross Non-performing Assets (GNPAS) Reported Second Half of 2015-16,GNPAS of Industry and Agriculture Sector and Write-off due to Technical/Prudential Write-OFFs/AUCA for Public Sector Banks during 2015-16 (Ministry of Finance) - Manipur",6c8c7d49-0470-4b43-9dcb-bea561ed615c,2023-12-06,187,0
97,National Minorities Development and Finance Corporation during 2014-15 (Ministry of Finance) - Meghalaya,8f0a2973-b3f0-4017-be4c-7ba4ab0864c9,2023-12-06,201,0
98,"Details of State-wise Outstanding Agriculture Loans, Including Bihar (in reply to Unstarred Question on 09-08-2016 (Ministry of Finance )",2504489f-83cc-4d44-8f5d-472dde0bc4f5,2023-12-06,493,0
99,State-wise Number of Education Loan Accounts and Outstanding Amount as on 31-03-2016 (Ministry of Finance ) - Mizoram,f0843aaf-88d9-4774-beb3-409d90005a7b,2023-12-06,260,0
100,Bank-wise Fraud Cases of Rs 1 lakh and Above Reported by Public Sector Banks (PSBs) during 2013-14 to 2015-16 (Ministry of Finance) - Nagaland,133629c8-7bd9-4091-a525-bc78c584a150,2023-12-06,428,0
101,State-wise Amount of Education Loans Disbursed by Private Banks during 2013-14 to 2015-16 (Ministry of Finance ) - Odisha,31e9d006-07ca-4cb3-9e77-f9892ce1deac,2023-12-06,254,0
102,State/ UT-wise Status of ATM Machines in The Country on 31-03-2016 (Ministry of Finance ) - Punjab,8f60f4d6-4da7-4786-be8d-ea10bef45cd2,2023-12-06,62,0
103,Bank-wise Details of Capital allocated to Public Sector Banks by Government of India on 19-07-2016 (Ministry of Finance) - Rajasthan,04bd60be-ec8d-46d0-903a-d396f7caff78,2023-12-06,213,0
104,State/UT-wise Number of BSBD accounts and Number of PMJDY accounts (in reply to Unstarred Question on 18.12.2018) (From : Ministry of Finance) - Sikkim,d2890d30-fbd1-43b4-83f0-6edeb5ad6a01,2023-12-05,426,0
105,"Bank-wise Details of operating profit, provision and net loss of PSBs which incurred losses in the first half from 2016-17 to 2018-19 (From : Ministry of Finance) - Tamil Nadu",8184e4b0-f38e-4625-8845-b2bbbdb8a736,2023-12-05,250,0
106,State-wise Non-Development Expenditure as Percentage to Aggregate Expenditure from 2016-17 to 2018-19 (From : Ministry of Finance) - Telangana,92062f9b-1937-48fe-8b29-5bac0cb76750,2023-12-05,73,0
107,"Month-wise gross collection of Central Goods and Services Tax (CGST), State Goods and Services Tax (SGST), Integrated Goods and Services Tax (IGST) and Cess during 2017-18 and 2018-19 (From : Ministry of Finance) - Tripura",f2922b4a-d85b-456c-9c1e-2cf1f4cf8b0a,2023-12-05,486,0
108,Year-wise Details of RBI's Currency and Gold Revaluation Account (CGRA) and Contingency Fund from 2014 to 2018 (From : Ministry of Finance) - Uttar Pradesh,ec5f4bf2-bdfc-41c7-9430-5391a23fdf32,2023-12-05,132,0
109,District-wise Accounts opened under Pradhan Mantri Jan Dhan Yojana (PMJDY) in Gujarat as on 26.12.2018 (From : Ministry of Finance),521cdc02-88b4-495d-8ebc-702afc8f61b5,2023-12-05,498,0
110,Month-wise Number of complaints regarding companies not passing on the full benefits of tax cuts to consumers received by the National Anti Profiteering Authority (NAA) during 2018 (From : Ministry of Finance) - Uttarakhand,d37d4bcc-b86b-4b72-8f1a-6bb5aa51b7f6,2023-12-05,212,0
111,Bank-wise detail of loans disbursed by Public Sector Banks (PSBs) to SCs and STs from 2016 to 2018 (From : Ministry of Finance) - West Bengal,53356a63-4bdf-4bf2-8935-befee488d7fe,2023-12-05,290,0
112,Bank and Year-wise Details of reduction in NPAs of PSBs due to write-offs (including compromise) from 2015-16 to 2017-18 (From : Ministry of Finance) - Andaman and Nicobar Islands,326cc578-7e84-4ace-a37e-1e2655dfef64,2023-12-05,402,0
113,Bank-wise total income of PSBs and private sector banks during 2017-18 (From : Ministry of Finance) - Chandigarh,6257d18d-c604-499f-a506-93953a6f3f2b,2023-12-05,292,0
114,Capital to Risk Weighted Assets Ratios (CRAR) of Public Sector Banks (PSBs) placed under the Prompt Corrective Action (PCA) framework as on 31.3.2018 (From : Ministry of Finance) - Dadra and Nagar Haveli,602f9458-84a6-48ec-9a05-d28e70e4b192,2023-12-05,314,0
115,Bank-wise Frauds reported by Public Sector Banks in the Area of Operation - Deposit-Savings where the amount involved is Rs 1 lakh and above from 2015-16 to 2017-18 (From : Ministry of Finance),586accf4-2e6d-421b-8c29-9f8b503aaed0,2023-12-05,473,0
116,Year-wise Details of Audited Accounts received under MIS from State Governments/vetted by Ministry of Finance and status during 2017-18 and 2018-19 (From : Ministry of Agriculture and Farmers Welfare) - Lakshadweep,6e850940-3c1b-4360-8140-e8109711415f,2023-12-05,449,0
117,State/UT-wise number of accounts opened under Sukanya Samriddhi Yojana (SSY) scheme from 2015-16 to 2018-19 (From : Ministry of Finance) - Delhi,a2beee13-917e-41dd-9bc5-9ea9db9314d2,2023-12-05,75,0
118,"Details of operating profits, provisions made for NPAs and net profits of Public Sector Banks from 2016-17 to 2018-19 (From : Ministry of Finance) - Puducherry",7eb59967-a420-44c3-bcf4-a3ecae2aeaec,2023-12-05,440,0
119,State-wise Post-Devolution Revenue Deficit Grant released from 2015-16 to 2017-18 (From : Ministry of Finance) - Ladakh,d16ce434-af2d-4cc6-ad74-13524143aa4c,2023-12-05,217,0
120,"State/UT-wise Number of Sub Service Areas (SSAs) covered with Business Correspondents (in reply to Unstarred Question on Jan 1, 2019) (From : Ministry of Finance) - Andhra Pradesh",f2e0cbe6-ad1b-425b-9da8-e25137b90ba8,2023-12-05,64,0
121,State-wise Revenue deficit/Surplus from 2015-16 to 2017-18 (From : Ministry of Finance) - Arunachal Pradesh,51f1314e-b103-4344-9147-a24d8b6733da,2023-12-05,220,0
122,Month-wise Gross Collection of Goods and Services Tax (GST) during 2017-18 and 2018-19 (From : Ministry of Finance) - Assam,42222eff-ec9d-43c7-aba3-1dafc3356243,2023-12-05,460,0
123,Details of Budget Estimate (BE) for disinvestment and amount received from 2015-16 to 2018-19 (From : Ministry of Finance) - Bihar,fc5e6af2-adb0-422c-9cf7-7eab18f4ad7b,2023-12-05,384,0
124,State/UT-wise Number of Loans sanctioned under Pradhan Mantri Mudra Yojana (PMMY) from 08.04.2015 to 21.12.2018 (From : Ministry of Finance) - Chhattisgarh,b6343694-d1fb-42cd-9bad-f94bff09f49d,2023-12-05,319,0
125,Bank-wise Number of Paid Claims under PMSBY reported by Bank and updated by insurance companies on Jansuraksha Portal as on 31.10.2018 (From : Ministry of Finance) - Goa,3bf67427-1e2d-489a-a431-14e833fef69c,2023-12-05,432,0
126,State/UT-wise Number of Paid Claims under PMSBY reported by Bank and updated by insurance companies on Jansuraksha Portal as on 31.10.2018 (From : Ministry of Finance) - Gujarat,647df03f-fff5-4add-88b3-a5b59244bc47,2023-12-05,246,0
127,Bank-wise Rate of growth of credit and deposits of PSBs and private sector banks from 2016 to 2018 (From : Ministry of Finance) - Haryana,a17bf450-2092-4e74-bdf7-9467826b48f2,2023-12-05,170,0
128,District-wise number of accounts opened under Pradhan Mantri Jan Dhan Yojana (PMJDY) in Kerala as on 19.12.2018 (From : Ministry of Finance),13efb165-70cd-4ab4-983b-abb401e14373,2023-12-05,167,0
