Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
115,"Slum Population of Million Plus Cities in Census, 2011 (Ministry of Housing and Urban Poverty Alleviation ) - Daman and Diu",a93db795-81a2-45e4-8ee0-8dc84bcc6c90,2023-12-06,440,0
116,State-wise Number of Operational Holdings for Others as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Lakshadweep,af42b4f9-aba6-49b1-a476-10e9d83b075b,2023-12-06,164,0
117,"Re-Distribution of Surplus Seats Among Remainging Reserved Category - A and B (5th Timer Applicants) as per Muslim population of census, 2011 (Ministry of External Affairs)",e539dfa2-7774-4d88-9fe0-92b72ef81c07,2023-12-06,276,0
118,"State/ UT-wise Slum Households by Availability of type of Latrine Facility in Census, 2011 (Ministry of Housing and Urban Poverty Alleviation ) - Puducherry",88c34ad7-36b8-4f07-a15a-71ee7e3680d4,2023-12-06,257,0
119,State-wise Details of main Workers in the Age Group of 5-14 years as per Census 2011 (Ministry of Labour and Employment) - Ladakh,0130c981-8fd0-4b00-bf95-36e3c2c8708d,2023-12-06,332,0
120,State-wise Housing Ownership Data (Percentage of Households by Occupancy Status) as per Census 2011 (Ministry of Housing and Urban Poverty Alleviation) - Andhra Pradesh,02c924a8-3240-4533-b7c7-98d182d4cf4a,2023-12-06,178,0
121,State-wise Number of Operational Holdings for All Social Group as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Arunachal Pradesh,5f90052a-e9b3-43ca-bdda-fbf2315b09c6,2023-12-06,236,0
122,State-wise Number of Operational Holdings for Scheduled Tribes as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Assam,c96e97a8-1662-4ca7-81b7-dbf2062235ed,2023-12-06,132,0
123,State-wise Number of Operational Holdings for Scheduled Castes as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Bihar,4eed141f-8680-4bf1-84a6-45e9663ae10f,2023-12-06,218,0
124,"State/ UT-wise Slum Households by Availability of Bathing facility and type of Drainage Connectivity for waste Water outlet in Census, 2011 (Ministry of Housing and Urban Poverty Alleviation ) - Chhattisgarh",ddb842c9-2024-43a5-9746-621d7caf7e19,2023-12-06,483,0
125,"India/State/ UT-wise Slum Households and Population in Census, 2011 (Ministry of Housing and Urban Poverty Alleviation ) - Goa",d87ecc84-fdb8-437a-a503-ffcc0a51fc40,2023-12-06,151,0
126,"India/State/ UT-wise slum population in Census, 2011 (Ministry of Housing and Urban Poverty Alleviation ) - Gujarat",a2f138cf-cd4d-466a-b73e-7fbbdf1892b2,2023-12-06,123,0
127,State-wise Operated Area for Scheduled Castes as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Haryana,d807ce43-5b98-4cea-87a5-95d254d392d1,2023-12-06,446,0
128,Gender and State/UT-wise Details of literacy rate in the country as per Census 2011 (From : Ministry of Human Resource Development) - Himachal Pradesh,959eb7d1-ea32-4ba6-b4cb-e7372846a482,2023-12-05,389,0
129,"State/UT-wise list of Elderly Men and Women as per Census, 2011 (From : Ministry of Social Justice & Empowerment) - Jharkhand",1a043044-8a72-40fd-b45e-2970446e7acb,2023-12-05,435,0
130,State/UT-wise Details of Main Workers in the age group of 5-14 years as per Census 2011 (in reply to Unstarred Question on 02.01.2019) (From : Ministry of Labour and Employment) - Karnataka,d719f701-d57c-42c5-b7e0-859784fa0510,2023-12-05,423,0
131,State/UT-wise Slum Households by Availability of Latrine Facility in India as per Census 2011 (From : Ministry of Housing & Urban Affairs) - Kerala,ab48c764-5d86-4c7a-ac61-898c6fa5cd9e,2023-12-05,142,0
132,State/UT-wise Slum Households by Main Source of Lighting in India as per Census 2011 (From : Ministry of Housing & Urban Affairs) - Madhya Pradesh,8392cf6b-33d7-464f-bb77-9db11cae6574,2023-12-05,151,0
133,State/UT-wise Slum Households Classified by Source and Location of Drinking Water by them in India as per Census 2011 (From : Ministry of Housing & Urban Affairs) - Maharashtra,b5ab5dc5-0181-4523-9eeb-2966f5925ddb,2023-12-05,51,0
134,State/UT-wise Slum Households by Availability of Bathing Facility in India as per Census 2011 (From : Ministry of Housing & Urban Affairs) - Manipur,fb3051c7-9c4a-4a6b-ac29-2eba09488116,2023-12-05,124,0
